,title,Mean,Count
0,SE FC9955 Dummy Sensor Security Camera,5.0,43.0
1,Case Logic CDW-32 32 Capacity Classic CD Wallet (Black),5.0,16.0
2,Koss SportaPro Stereo Headphones,5.0,16.0
3,OP/TECH USA Utility Strap - Swivel (Black),5.0,16.0
4,Blitzby Apple Watch Screen Protector 44mm (7 Pack) Series 4 Compatible,5.0,13.0
5,"OMOTON Kindle Paperwhite Case Cover - The Thinnest Lightest PU Leather Smart Cover Kindle Paperwhite fits all Paperwhite generations prior to 2018 (Will not fit All new Paperwhite 10th Gen), Black",5.0,13.0
6,Alcoco Headphpone Splitter Adapter Jack Adaptor Connector Cable Adapter Earphone Adapter with Volume Control &amp; Charging &amp; Music,5.0,12.0
7,Domke F-34M 15-Inch Protective Wrap -Gray,5.0,12.0
8,"Kingwin Aluminum Single Bay Hot Swap Mobile Rack For 3.5&rdquo; SSD/HDD, Internal SATA Hard Drive Backplane Enclosure w/Fan, Support SATA I/II/III &amp; SAS I/II 6Gbps and [Optimized for 3.5&rdquo; SSD/HDD]",5.0,12.0
9,Nikon 52mm Screw-on NC Filter,5.0,12.0
10,"Noctua NF-F12 PWM, 4-Pin Premium Quiet Fan (120mm, Brown)",5.0,12.0
11,Pelican 1400 Case With Foam (Black),5.0,12.0
12,"StarTech DVI to VGA Cable Adapter, M/F (DVIVGAMF)",5.0,12.0
13,"TIC GS5 5"" Compact Outdoor Weather-Resistant Omnidirectional In-Ground Speakers (pair)",5.0,12.0
14,Tripp Lite LC1200 Line Conditioner 1200W AVR Surge 120V 10A 60Hz 4 Outlet 7-Feet Cord,5.0,12.0
15,"Mediabridge Ethernet Cable (25 Feet) - Supports Cat6/5e/5, 550MHz, 10Gbps - RJ45 Cord (Part# 31-399-25B )",4.916666666666667,12.0
16, TII 212 Broadband Cable TV and Satellite Lightning Surge Protector 75 Ohm 5-1500MHz,4.9,10.0
17,B+W 72mm XS-Pro Clear with Multi-Resistant Coating (007M),4.9,10.0
18,"CORSAIR HXi Series, HX1000i, 1000 Watt, 80+ Platinum Certified, Fully Modular - Digital Power Supply",4.9,10.0
19,ULAK Soft TPU Bumper PC Back Hybrid Case for iPod Touch 6/iPod Touch 5 - Retail Packaging - Clear Slim,4.9,10.0
20,"[2 in 1 Pack] Anker USB-C (Male) to Micro USB (Female) Adapter, Allows Micro USB to USB-C Data Transfer, Uses 56K Resistor, Works with Galaxy S8, S8+, S9, MacBook, Sony XZ, LG V20 G5 G6 and More",4.9,10.0
21,Uoobag Tigernu Series Business Laptop Backpack Slim Anti Theft Travel Computer Backpacks Environmentally Waterproof Laptops Bag For Men/Women 15.6Inch Black,4.894736842105263,19.0
