,title,Mean,Count
0,SLIK Complete Tripod Pro 700DX Amt Tripod with 3-Way Pan and tilt Head Silver (615.315),5.0,64.0
1,SE FC9955 Dummy Sensor Security Camera,5.0,43.0
2,Nikon Lens Pen Cleaning System,5.0,32.0
3,AT&amp;T 25-Ft. Line Cord (White),5.0,28.0
4,Canon EF 400mm f/5.6L USM Super Telephoto Lens for Canon SLR Cameras,5.0,28.0
5,Pelican Micro Case Waterproof Container,5.0,28.0
6,"BIC America DV62si Bookshelf Speakers (Pair, Black)",5.0,24.0
7,Nikon D500 DX-Format Digital SLR with 16-80mm ED VR Lens,5.0,22.0
8,"MoKo iPad Mini 3 / 2 / 1 Case, Slim-Fit Cover Case for Apple iPad Mini 1 (2012) / iPad Mini 2 (2013) / iPad Mini 3 (2014), BLUE (Will not fit iPad Mini 4)",5.0,21.0
9,Canon EF 135mm f/2L USM Lens for Canon SLR Cameras - Fixed,5.0,20.0
10,FUJIFILM FP-100C 3.25 X 4.25 Inches Professional Instant Color Film,5.0,20.0
11,"Flashpoint 10' C (Century) Light Stand on Turtle Base Kit w/40"" Grip Arm &amp; 2 Gobo Heads and Baby Pin - Chrome",5.0,20.0
12,Fujifilm FinePix S9900W Wi-Fi Digital Camera with 64GB Card + Batteries &amp; Charger + Case + Tripod + Kit,5.0,20.0
13,"JBL ND310 3-Way Floorstanding Speaker (Single Speaker, Black Ash) (Discontinued by Manufacturer)",5.0,20.0
14,"Koss R-80 Over Ear Headphones, Black",5.0,20.0
15,Nikon AF FX NIKKOR 50mm F/1.4D DSLR Lens with Auto Focus for Nikon DSLR Cameras,5.0,20.0
16,Olympus Trooper 10x50 DPS I Binocular (Black),5.0,20.0
17,Sabrent USB-IDE Hard Disk Drive Enclosure (SBT-ESU25),5.0,20.0
18,StarTech.com 20 ft /6m Premium Toslink Digital Optical SPDIF Audio Cable,5.0,20.0
19,"Verbatim DVD+R 4.7GB 8X DataLifePlus White Inkjet Printable, Hub Printable - 50pk Spindle",5.0,20.0
20,AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 6.5 Feet (2 Meters),5.0,18.0
21,6in Stereo Splitter Cable - 3.5mm Male to 2x 3.5mm Female,5.0,16.0
22,"BIC America Venturi DV64 2-Way Tower Speaker, Black (Single)",5.0,16.0
23,Canon EF 35mm f/1.4L USM Wide Angle Lens for Canon SLR Cameras - White Box (New) (Bulk Packaging),5.0,16.0
24,Canon EF 50mm f/1.8 II Standard AutoFocus Fixed Lens - White Box(Bulk Packaging),5.0,16.0
25,Canon EF 70-200mm f/2.8L USM Telephoto Zoom Lens for Canon SLR Cameras,5.0,16.0
