,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime
0,2,,False,2016-11-11,A2OSUEZJIN7BI,0511189877,,Chris,"I have an older URC-WR7 remote and thought this would be an upgrade (and because TWC stuck me with it), but this one fails where the other one didn't.  The old remote could go head to head and learn.  I have 2 different Blu Ray players (LG & Panasonic) and this one fails on both.  It cannot learn buttons.  The biggest problem is in streaming when I need to hit the blue, red, yellow, green buttons.  These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",Cannot Learn,1478822400
1,5,,True,2016-06-06,A2NETQRG6JHIG7,0511189877,,Qrysta White,"First time I've EVER had a remote that needed no programming whatsoever so I have to give it bragging rights.  All the other 8780Ls I've had certainly had to be set up first.

Yes I wish it was Silver or White or some color that would permit its buttons to be more easily read but its thinner in hand than the ATLAS OCAP 5-Device Cable Remote Control 1056B03 so its the best thing I can find for a Samsung DVR with Samsung TV on the TWC system in NY.",zero programming needed!  Miracle!?,1465171200
2,4,,True,2016-03-10,A12JHGROAX49G7,0511189877,,Linwood,Got them and only 2 of them worked. company called me after the feedback and told me they would send me a refund. The 2 that are working are doing fine. I like the lighted feature a lot for the night time.,Works Good and programs easy.,1457568000
3,5,,True,2016-01-14,A1KV65E2TMMG6F,0511189877,,Dane Williams,"I got tired of the remote being on the wrong side of the bed. I was going to buy a generic remote when I got the idea to look for the real thing.  For a few bucks more I got this one. It is the same one as Time Warner gives you, works exactly the same, don't have to relearn anything.",Same as TWC remote,1452729600
4,5,,True,2016-10-20,A280POPEWI0NSA,0594459451,,Kristina H.,"After purchasing cheap cords from another website, I was a little scared to purchase. So glad I did though!  It works great and the design will keep the cord from breaking so easily. Price is still kind of high for a power cord but it is worth it.",Good Quality Cord,1476921600
5,5,,True,2016-06-18,A2KTAT1Y3VRVSJ,0594459451,,MnMMom3,This is a great charging cable for the Nook.  It is way better than the one that came with the original Nook Color.  The only downside is you cannot use it on the computer to add books to your Nook.  This was not an issue for me because I have other cables for that.,Better than original charger!,1466208000
6,5,,True,2016-02-11,A1CHTT6E3NV5YL,0594459451,,Amazon Shopper,"The 90 degree connector is a bonus that allows her to read while it is charging without the older style straight connector sticking down.  This cable does everything including charging, and data transfer, works just as well as the original that came with her Nook Color, but better.",Works great on my Wife's older model Nook Color.,1455148800
7,2,,True,2016-04-02,A1TI6WQ69ST707,0594481902,,kyle,"I bought this thinking it would be a great replacement for my worn power cable.  It charged my nook HD+ and my son's nook for a few weeks and then my son said it stopped working.  Sure enough, I did not even get 6 months of use out of it even though it was an original cable (it came in an OEM box).

I ended up borrowing my mom's charger and charging my Nook HD+.  I then wiped the device and will put the Nook app on a generic Samsung tablet.  My Nook HD+ still works, but given all of the new Android exploits, lack of third party chargers that can last as long as the original, and the fact Barnes and Noble no longer supports it I cannot see keeping it any longer when newer tablets are faster.",Good enough to charge and wipe an older nook before you buy a newer tablet.,1459555200
8,4,,True,2016-01-10,A38NYFVE0FCZRG,0594481902,,S. Artist,"It works!  I was skeptical about ordering it because the ratings weren't great, but short of buying a new Nook or replacing it with a Kindle,  it was the best short-term option.  The original plug-in part made a sizzling sound one night and stopped working.  My husband tried to plug the USB end into one of about 20 USB to plug-in wall chargers that we have around the house and none of them worked.  We're assuming there must be some proprietary thing with the Nook USB end that won't let you use generic wall chargers which really sucked because he couldn't use his Nook for weeks.  If you are contemplating purchasing a Nook,  it may be something to take into consideration.","It works, but it costs $30!  Generic USB wall chargers won't work with Nook's USB.",1452384000
9,5,,True,2016-09-19,A2LLAAYS88V96P,0594296420,,Tabatha,"Brand name adapter this is just like the one you got when you bought your nook,. I would always recommend using a designated adapter. The charging cable is a whole different story but the adapter defiantly use the designated charger.",Brand name adapter this is just like the one you got when you bought your nook,1474243200
